Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
TalkDesk,$1 ,10/3/2018,USA,SalesTech,"DJF, Salesforce Ventures, Storm Ventures"
Geek+,$1 ,11/21/2018,China,Robotics,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
Pat McGrath Labs,$1 ,7/13/2018,USA,e-commerce,"One Luxury Group, Eurazeo"
Seismic,$1 ,12/18/2018,USA,Sales Tech,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
iFood,$1 ,11/13/2018,Brazil,On Demand,"Movile, Just Eat, Naspers"
Omio,$1 ,10/23/2018,Germany,Travel Tech,"Lakestar, Battery Ventures, New Enterprise Associates"
Collibra,$1 ,1/29/2019,USA,Regtech / AI,"Index Ventures, Battery Ventures, ICONIQ Capital"
Hims,$1 ,1/29/2019,USA,Consumer Products & Services,"Forerunner Ventures, Thrive Capital, Redpoint Ventures"
Zhangmen,$1 ,12/26/2017,USA,EdTech,"Shunwei Capital Partners, QingSong Fund, Warburg Pincus"
Calm,$1 ,2/6/2019,USA,Health & Wellness,"Insight Venture Partners, TPG Growth, Sound Ventures"
Health Catalyst,$1 ,2/7/2019,USA,Digital Health,"Sequoia Capital, Kaiser Permanente Ventures, Norwest Venture Partners"
58 Daojia,$1 ,2/18/2016,China,Internet Software & Services,"KKR, Alibaba Group, Ping An Insurance"
LinkSure Network,$1 ,1/1/2015,China,Internet Software & Services,N/A
Unisound,$1 ,7/19/2018,China,"Scientific, Engineering Software","Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures"
Yidian Zixun,$1 ,10/17/2017,China,Digital Media,"Phoenix New Media, Tianjin Haihe Industry Fund"
Tresata,$1 ,10/10/2018,USA,BI & Analytics,GCP Capital Partners
10X Genomics,$1 ,1/7/2019,USA,Genomics,"Fidelity Investments, Paladin Capital Group, Meritech Capital Partners"
Yanolja,$1 ,2/16/2019,South Korea,Travel Tech,"SBI Investment Korea, Partners Investment, GIC"
Rent the Runway,$1 ,3/21/2019,USA,eCommerce,"Bain Capital Ventures, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
Vlocity,$1 ,3/26/2019,USA,Cloud Computing,"Accenture, Salesforce Ventures, Sutter Hill Ventures"
Airwallex,$1 ,3/25/2019,Australia,Fintech,"DST Global, Sequoia Capital China, Tencent Holdings"
Casper,$1.10 ,3/27/2019,USA,eCommerce / D2C,"Norwest Venture Partners, New Enterprise Associates, Lerer Hippeau Ventures"
Bill.com,$1 ,4/2/2019,USA,Fintech,"August Capital, DCM Ventures, Emergence Capital Partners"
Liquid,$1 ,4/3/2019,USA,Fintech,"JAFCO Co, Bitmain Technologies, IDG Capital"
Red Ventures,$1 ,1/7/2015,USA,Business Products & Services,"Silver Lake Partners, General Atlantic"
Sila Nanotechnologies,$1 ,4/16/2019,USA,Energy Storage,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Dream11,$1 ,4/9/2019,India,Sports/Gaming,"Kaalari Capital, Tencent Holdings, Steadview Capital"
Coursera,$1 ,4/25/2019,USA,Edtech,"New Enterprise Associates, Kleiner Perkins Caufield & Byers, GSV Capital, Learn Capital"
Poizon,$1 ,4/29/2019,China,eCommerce/Marketplace,"DST Global, Sequoia Capital China, Gaorong Capital"
