13.16,16.13,17.38,18.23,18.80,19.19,19.45,19.63,19.75,19.83,19.83,19.84,19.84,19.85,19.85,19.86,19.86,19.87,19.87,19.88,19.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.16,26.32,31.60,33.75,35.19,36.36,37.27,37.97,38.51,38.91,38.94,38.96,38.99,39.02,39.05,39.07,39.10,39.12,39.15,39.17,39.19,39.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.16,26.32,39.48,46.54,49.80,51.65,53.17,54.49,55.62,56.55,56.62,56.70,56.77,56.84,56.91,56.98,57.05,57.12,57.18,57.24,57.31,57.37,57.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.16,26.32,39.48,52.65,61.08,65.51,67.94,69.67,71.22,72.64,72.77,72.89,73.01,73.14,73.26,73.37,73.49,73.60,73.72,73.83,73.94,74.05,74.16,74.26,0.00,0.00,0.00,0.00,0.00,0.00
13.16,26.32,39.48,52.65,65.81,75.31,80.88,84.03,86.07,87.74,87.92,88.10,88.27,88.44,88.61,88.77,88.92,89.07,89.22,89.37,89.51,89.65,89.80,89.94,90.08,0.00,0.00,0.00,0.00,0.00
13.16,26.32,39.48,52.65,65.81,78.97,89.30,95.94,99.88,102.35,102.58,102.81,103.03,103.25,103.46,103.67,103.87,104.07,104.26,104.45,104.64,104.82,105.00,105.17,105.34,105.51,0.00,0.00,0.00,0.00
13.16,26.32,39.48,52.65,65.81,78.97,92.13,103.10,110.72,115.49,115.86,116.22,116.57,116.90,117.23,117.54,117.84,118.14,118.42,118.69,118.96,119.22,119.47,119.72,119.95,120.19,120.41,0.00,0.00,0.00
13.16,26.32,39.48,52.65,65.81,78.97,92.13,105.29,116.75,125.24,126.29,127.17,127.96,128.66,129.29,129.85,130.37,130.85,131.29,131.71,132.09,132.47,132.83,133.18,133.52,133.86,134.18,134.49,0.00,0.00
13.16,26.32,39.48,52.65,65.81,78.97,92.13,105.29,118.45,130.30,133.17,135.17,136.78,138.13,139.27,140.24,141.13,141.95,142.71,143.40,144.04,144.63,145.18,145.69,146.18,146.63,147.06,147.47,147.86,0.00
13.16,26.32,39.48,52.65,65.81,78.97,92.13,105.29,118.45,131.61,136.57,140.25,143.11,145.37,147.23,148.85,150.27,151.52,152.63,153.62,154.55,155.42,156.23,157.00,157.71,158.38,159.01,159.60,160.16,160.68
